id,text,percentage,encodedText,encodedTest,status,grantReference,grantCategory
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies,0,Pol.+sci.+%26+internat.+studies,-,Closed,ES/H005536/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Closed,ES/H005536/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Closed,ES/H005536/1,Research Grant
7D5D2DB2-0A64-42AF-A644-5F541B832A29,Economics,0,Economics,-,Active,ES/K000357/1,Research Grant
EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,Info. & commun. Technol.,0,Info.+%26+commun.+Technol.,-,Active,ES/K000357/1,Research Grant
6723A70B-A523-40AB-9740-B6AD2A0677B7,Medical & health interface,0,Medical+%26+health+interface,-,Active,ES/K000357/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Active,ES/K000357/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Active,ES/K000357/1,Research Grant
FB535BD0-E265-4C0A-8532-32DCB83A3951,"Tools, technologies & methods",0,Tools%2C+technologies+%26+methods,-,Active,ES/K000357/1,Research Grant
7D5D2DB2-0A64-42AF-A644-5F541B832A29,Economics,0,Economics,-,Active,ES/K005146/1,Research Grant
5858EC49-4786-4440-8352-1AB0B6DC5F23,Psychology,0,Psychology,-,Active,ES/K005146/1,Research Grant
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy,0,Social+Policy,-,Active,ES/K005146/1,Research Grant
F0322ED6-113F-4530-BA5E-562216587E68,Sociology,0,Sociology,-,Active,ES/K005146/1,Research Grant
FB535BD0-E265-4C0A-8532-32DCB83A3951,"Tools, technologies & methods",0,Tools%2C+technologies+%26+methods,-,Active,ES/K005146/1,Research Grant
7D5D2DB2-0A64-42AF-A644-5F541B832A29,Economics,0,Economics,-,Active,ES/L009633/1,Research Grant
808111E3-5E04-4CEF-B080-565A81EFD6D0,Demography,0,Demography,-,Active,ES/L011840/1,Research Grant
E844174D-6A1C-4D2D-8F24-57698F7DA353,Environmental planning,0,Environmental+planning,-,Active,ES/L011840/1,Research Grant
3A4CB57C-9B22-41A2-AB15-127503299365,Human Geography,0,Human+Geography,-,Active,ES/L011840/1,Research Grant
