id,text,encodedText,percentage,status,grantReference,grantCategory
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1100642,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1605771,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1606176,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1606705,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1638348,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1646322,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1647857,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1654083,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1654223,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1654841,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1759672,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1777285,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1778694,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1780946,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1781381,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1781388,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1781520,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1781521,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1786832,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1786844,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1788413,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1788591,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1789707,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1789827,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1790291,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1790344,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1796398,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1797940,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1798088,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1800658,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1811073,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1834760,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1864777,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1864827,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1864829,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1864865,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1865395,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881330,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881372,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881375,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881376,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881383,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881389,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881416,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881428,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881429,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1881433,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1885142,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1887475,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1887483,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1887896,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1888211,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1888561,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1888577,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1889071,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1890557,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1890562,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1891875,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1892287,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1892659,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1892737,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1892829,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1900693,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901088,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901195,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901291,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901403,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901496,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901503,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901511,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901822,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1901916,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1902111,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1902115,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1902163,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1904266,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1904297,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1904630,Studentship
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified,Unclassified,-,Active,1904641,Studentship
